Resource,SubscriptionName,ResourceGroup,CurrentCostUSD,LastCostUSD,DeltaUSD,Remark
aks-syspool-21886233aks-syspool-21886233-os__1_6176699af2d1436bad5dc534ade1af20,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,18.530352,0.0,18.530352,NEW
aks-e4asv4pool-22212aks-e4asv4pool-222123os__1_3038d45942ad497a9522cc698a2afe1a,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,18.530155,0.0,18.530155,NEW
disk10008-stage-market-single,KioSoft Globalazure  Subscription,rg10004-stage-kiocentral,2.067762,20.391653,-18.323892,DOWN
aks-e2asv4pool-21886aks-e2asv4pool-218862os__1_b77339f070034130a71e48bfae4f2858,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,0.0,17.726648,-17.726648,REMOVED
aks-syspool-21886233aks-syspool-21886233-os__1_12f7d67ac0f442be812d3518e8ec98e6,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,0.0,17.726648,-17.726648,REMOVED
disk20025-prod-csc-elk01-os,KioSoft Globalazure  Subscription,rg20003-prod-csc,17.226299,0.0,17.226299,NEW
aks-e4asv4pool-25145aks-e4asv4pool-251456os__1_be2fc85581174d35b3ab8d5e3f622ee7,KioSoft Globalazure  Subscription,mc_commandcenter_cc-test_eastus,0.0,17.068529,-17.068529,REMOVED
aks-e2asv4pool-31020aks-e2asv4pool-310200os__1_8157d663eb40472f8f0da43be164d201,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,19.285836,2.390387,16.895449,UP
vm122-prod-latamcleanstore-web01_osdisk_1_d1f1c49444f5463496b39846c746cb81-new,KioSoft Globalazure  Subscription,retail,0.0,16.745317,-16.745317,REMOVED
vm143-prod-latamcleanstore-web03-osdisk,KioSoft Globalazure  Subscription,retail,0.0,16.745317,-16.745317,REMOVED
vm142-prod-latamcleanstore-web02-osdisk,KioSoft Globalazure  Subscription,retail,0.0,16.695439,-16.695439,REMOVED
mysql03-prod-modem-dbrestore04-replica01,KioSoft Globalazure  Subscription,rg50-prod-modem,0.0,16.249758,-16.249758,REMOVED
kubernetes,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,41.954182,26.017687,15.936495,UP
vm143-prod-latamcleanstore-web03,KioSoft Globalazure  Subscription,retail,0.0,15.680107,-15.680107,REMOVED
defaultazuremonitorworkspace-eus,KioSoft Globalazure  Subscription,commandcenter,19.324397,34.749445,-15.425048,DOWN
f7f171b92381240709e6fbd,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,117.607032,102.602271,15.004762,UP
aks-e4asv4pool-25145aks-e4asv4pool-251456os__2_76637b6dd1eb4293a503f3b5e22726f5,KioSoft Globalazure  Subscription,mc_commandcenter_cc-test_eastus,0.0,13.805352,-13.805352,REMOVED
vm10006-stage-market-single,KioSoft Globalazure  Subscription,rg10004-stage-kiocentral,1.497854,14.905036,-13.407182,DOWN
snipe-it,KioSoft Globalazure  Subscription,rg9999-test-infrastructure,1.485309,14.880204,-13.394895,DOWN
vm122-prod-latamcleanstore-web01,KioSoft Globalazure  Subscription,retail,0.0,13.259349,-13.259349,REMOVED
aks-syspool-21886233-vmss / 1,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,0.0,13.097906,-13.097906,REMOVED
aks-e2asv4pool-21886233-vmss / 5,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,0.0,13.077879,-13.077879,REMOVED
vm20021-prod-csc-elk01,KioSoft Globalazure  Subscription,rg20003-prod-csc,12.978584,0.0,12.978584,NEW
aks-e2asv4pool-31020aks-e2asv4pool-310200os__1_110cd2f919104b56830b7a3fa60ebbeb,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,19.285836,6.323963,12.961873,UP
aks10000-test-cc,KioSoft Globalazure  Subscription,commandcenter,0.0,12.801221,-12.801221,REMOVED
aks-e2asv4pool-31020068-vmss / 1,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,14.4,1.742272,12.657728,UP
aks-e4asv4pool-25145647-vmss / 5,KioSoft Globalazure  Subscription,mc_commandcenter_cc-test_eastus,0.0,12.617249,-12.617249,REMOVED
aks-systempool01-18971634-vmss / 0,KioSoft Globalazure  Subscription,mc_commandcenter_cc-test_eastus,0.0,12.617249,-12.617249,REMOVED
vm20007-prod-elk01,KioSoft Globalazure  Subscription,rg20002-prod-om,0.0,12.233834,-12.233834,REMOVED
azurebackup_vm20017-prod-elk01_929623888271918898,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,23.837254,11.933131,11.904123,UP
aks-e4asv4pool-12407aks-e4asv4pool-124070os__1_326bdbc4bf6c4ddcb79b4603b3664721,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,0.0,10.674328,-10.674328,REMOVED
vm142-prod-latamcleanstore-web02,KioSoft Globalazure  Subscription,retail,0.0,10.627513,-10.627513,REMOVED
sa30prodbackup,KioSoft Globalazure  Subscription,rg45-prod-om,86.642759,97.254237,-10.611478,DOWN
vm20008-prod-csc-elk01,KioSoft Globalazure  Subscription,rg20003-prod-csc,4.473983,14.906058,-10.432075,DOWN
aks-systempool01-189aks-systempool01-1897os__1_99fc462ed2be4223b518d8ec3c5a285d,KioSoft Globalazure  Subscription,mc_commandcenter_cc-test_eastus,0.0,10.371565,-10.371565,REMOVED
aks-e4asv4pool-25145647-vmss / 6,KioSoft Globalazure  Subscription,mc_commandcenter_cc-test_eastus,0.0,10.213964,-10.213964,REMOVED
aks-systempool01-18971634-vmss / 1,KioSoft Globalazure  Subscription,mc_commandcenter_cc-test_eastus,0.0,10.213964,-10.213964,REMOVED
aks-e2asv4pool-31020068-vmss / 0,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,14.4,4.626215,9.773785,UP
mysql25-prod-olap,KioSoft Globalazure  Subscription,rg20000-prod-olap,114.719218,105.03233,9.686888,UP
fda8dea24535a4490aac6c6,KioSoft Globalazure  Subscription,mc_commandcenter_cc-test_eastus,0.0,9.589474,-9.589474,REMOVED
snipe-it_osdisk_1_b13ca6878cec4dbf9550fe81abb9fa39,KioSoft Globalazure  Subscription,rg9999-test-infrastructure,1.063296,10.412964,-9.349668,DOWN
mysql9998-test-automation,KioSoft Globalazure  Subscription,rg9999-test-infrastructure,8.731345,0.0,8.731345,NEW
ks-fgt,KioSoft Globalazure  Subscription,sut,278.572632,287.281004,-8.708373,DOWN
vm131-prod-csc-retail-reportserver08,KioSoft Globalazure  Subscription,rg52-prod-csc,16.022406,24.531591,-8.509185,DOWN
disk20022-prod-latamcleanstore-web01-os,KioSoft Globalazure  Subscription,rg20008-prod-latamcleanstore,17.534192,9.298691,8.235501,UP
disk20024-prod-latamcleanstore-web03-os,KioSoft Globalazure  Subscription,rg20008-prod-latamcleanstore,17.534192,9.310505,8.223687,UP
disk20023-prod-latamcleanstore-web02-os,KioSoft Globalazure  Subscription,rg20008-prod-latamcleanstore,17.534192,9.321565,8.212626,UP
vm20011-prod-pometheus-backup,KioSoft Globalazure  Subscription,rg9999-test-infrastructure,0.0,8.092945,-8.092945,REMOVED
aks-systempool01-189aks-systempool01-1897os__1_7e2e63ecd39c41e69abe097127db8e36,KioSoft Globalazure  Subscription,mc_commandcenter_cc-test_eastus,0.0,8.02762,-8.02762,REMOVED
vm20020-prod-latamcleanstore-web03,KioSoft Globalazure  Subscription,rg20008-prod-latamcleanstore,17.15981,25.002708,-7.842898,DOWN
aks-e4asv4pool-12407023-vmss / 0,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,0.0,7.770623,-7.770623,REMOVED
postgresql01-prod-operationcenter,KioSoft Globalazure  Subscription,rg59-prod-operationcenter,36.775056,44.465585,-7.690529,DOWN
kiosoft-qa,KioSoft Globalazure  Subscription,kiosoft-test,15.629299,22.997272,-7.367973,DOWN
restore-mysql12-prod-cleanstore-utc-20250924161203,KioSoft Globalazure  Subscription,rg9999-test-infrastructure,6.944294,0.0,6.944294,NEW
