Resource,SubscriptionName,ResourceGroup,CurrentCostUSD,LastCostUSD,DeltaUSD,Remark
aks-e2asv4pool-31020aks-e2asv4pool-310200os__1_8157d663eb40472f8f0da43be164d201,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,19.285836,19.285836,0,SAME
aks-e4asv4pool-22212387-vmss,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,0.014961,0.014961,0,SAME
aks-e4asv4pool-22212387-vmss / 0,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,14.4,14.4,0,SAME
aks-e4asv4pool-22212387-vmss / 2,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,0.02,0.02,0,SAME
aks-e4asv4pool-22212387-vmss / 4,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,0.02,0.02,0,SAME
aks-e4asv4pool-22212387-vmss / 5,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,0.42,0.42,0,SAME
aks-e4asv4pool-22212aks-e4asv4pool-222123os__1_10e1761e848c4a5fad65a01ba7cf9bde,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,0.711807,0.711807,0,SAME
aks-e4asv4pool-22212aks-e4asv4pool-222123os__1_2606b0bd40694f65a4956a15b6f95c80,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,0.014743,0.014743,0,SAME
aks-e4asv4pool-22212aks-e4asv4pool-222123os__1_3038d45942ad497a9522cc698a2afe1a,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,18.530155,18.530155,0,SAME
aks-e4asv4pool-22212aks-e4asv4pool-222123os__1_671737dcc4fe4f9f8c455b37c2902739,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,0.588954,0.588954,0,SAME
aks-e4asv4pool-22212aks-e4asv4pool-222123os__1_6979096261ea4b0c8fdf95a8df6a57c5,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,0.003548,0.003548,0,SAME
aks-e4asv4pool-22212aks-e4asv4pool-222123os__1_69867f336066425691e440396b1a211c,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,0.01084,0.01084,0,SAME
aks-e4asv4pool-22212aks-e4asv4pool-222123os__1_bc30a74a758c496b936207cbb71986fd,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,0.006544,0.006544,0,SAME
aks-e4asv4pool-22212aks-e4asv4pool-222123os__1_db555292357e47a0aa7a8bcb6d495b0f,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,0.014743,0.014743,0,SAME
aks-e4asv4pool-22212aks-e4asv4pool-222123os__1_e9cf362d35334db4a17e80d427b15892,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,0.013363,0.013363,0,SAME
aks-syspool-21886233-vmss,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,0.073616,0.073616,0,SAME
aks-syspool-21886233-vmss / 0,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,14.4,14.4,0,SAME
aks-syspool-21886233-vmss / 3,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,0.02,0.02,0,SAME
aks-syspool-21886233aks-syspool-21886233-os__1_6176699af2d1436bad5dc534ade1af20,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,18.530352,18.530352,0,SAME
aks-syspool-21886233aks-syspool-21886233-os__1_7e75143a4dde4f2c9b1dad717c4de616,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,0.68443,0.68443,0,SAME
aks-syspool-21886233aks-syspool-21886233-os__1_b263f11f14314f988f50a85005199b26,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,0.047797,0.047797,0,SAME
aks-syspool-21886233aks-syspool-21886233-os__1_cc1106c943f8465d876f9f731fb558fb,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,0.003686,0.003686,0,SAME
aks-syspool-21886233aks-syspool-21886233-os__1_d5be47dec7204b5599addee472162eb6,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,0.003331,0.003331,0,SAME
aks-syspool-21886233aks-syspool-21886233-os__1_d6b8df2d07ab4b3f92a077eea0265800,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,0.002089,0.002089,0,SAME
alert_htest01,KioSoft Globalazure  Subscription,kiosoft-test,0.059423,0.059423,0,SAME
app-gt02-prod-csc-retailweb,KioSoft Globalazure  Subscription,rg52-prod-csc,1446.833569,1446.833569,0,SAME
arm,KioSoft Globalazure  Subscription,,1.188912,1.188912,0,SAME
azeaus-secops-workspace,KioSoft Globalazure  Subscription,security-logrg,0.461377,0.461377,0,SAME
azurebackup_cmk_929623887782337582,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,6.864956,6.864956,0,SAME
azurebackup_ks-fgt_5414223953941450345,KioSoft Globalazure  Subscription,azurebackuprg_eastus2_1,0.165541,0.165541,0,SAME
azurebackup_prod-mqtt-coffee_929623888628586878,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,1.085106,1.085106,0,SAME
azurebackup_prod-sage-db01_929623887289847007,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,16.7659,16.7659,0,SAME
azurebackup_prod-universal-db01_929623887786635939,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,13.767263,13.767263,0,SAME
azurebackup_prod-universal-web01-new_929623888367181460,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,8.995419,8.995419,0,SAME
azurebackup_prod-universal-web02-new_929623887727239512,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,8.895966,8.895966,0,SAME
azurebackup_snipe-it_246291976234172,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,0.188822,0.188822,0,SAME
azurebackup_sutserver01_5414223955705124177,KioSoft Globalazure  Subscription,azurebackuprg_eastus2_1,3.356456,3.356456,0,SAME
azurebackup_sutserver02_5414223954115939432,KioSoft Globalazure  Subscription,azurebackuprg_eastus2_1,0.975449,0.975449,0,SAME
azurebackup_tmsprod-db01_929623887247557873,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,7.041893,7.041893,0,SAME
azurebackup_tmsprod-lb01_929623888688307930,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,0.362401,0.362401,0,SAME
azurebackup_tmsprod-oldtms1_35185633139871,KioSoft Globalazure  Subscription,azurebackuprg_centralus_1,0.263017,0.263017,0,SAME
azurebackup_tmsprod-tms01_929623888630237019,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,0.697373,0.697373,0,SAME
azurebackup_tmsprod-tms02_929623887726593831,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,0.909955,0.909955,0,SAME
azurebackup_tmsprod-tms03_929623889091889079,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,3.112248,3.112248,0,SAME
azurebackup_tmsprod-web01_929623887909667835,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,1.750149,1.750149,0,SAME
azurebackup_tmsprod-web02_929623889231908371,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,1.790863,1.790863,0,SAME
azurebackup_ttideployment_929623889030321900,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,4.283559,4.283559,0,SAME
azurebackup_vm100-prod-csc-universal-web04_929623888133131047,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,6.895519,6.895519,0,SAME
azurebackup_vm10003-test-elk01_929623888568447995,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,26.669693,26.669693,0,SAME
azurebackup_vm101-prod-csc-universal-soft01_929623889079237157,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,1.681659,1.681659,0,SAME
azurebackup_vm102-prod-csc-retail-web01_929623888246176115,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,8.912163,8.912163,0,SAME
azurebackup_vm103-prod-csc-retail-web02_929623888633314838,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,8.893084,8.893084,0,SAME
