Resource,SubscriptionName,ResourceGroup,CurrentCostUSD,LastCostUSD,DeltaUSD,Remark
vm127-prod-tcn,KioSoft Globalazure  Subscription,rg54-prod-tcn,14.99972,167.469937,-152.470217,DOWN
prod-sage-db01,KioSoft Globalazure  Subscription,sage300c_v2022,14.99972,166.835747,-151.836027,DOWN
seatunnel-cluster-test1,KioSoft Globalazure  Subscription,rg9997-test-devops-infrastructure,3.720199,57.027317,-53.307118,DOWN
seatunnel-cluster-test1,KioSoft Globalazure  Subscription,rg9997-test-devops-infrastructure,21.55559,57.027317,-35.471727,DOWN
seatunnel-cluster-test1,KioSoft Globalazure  Subscription,rg9997-test-devops-infrastructure,31.751528,57.027317,-25.275789,DOWN
prod-sage-db01,KioSoft Globalazure  Subscription,sage300c_v2022,151.836027,166.835747,-14.99972,DOWN
vm127-prod-tcn,KioSoft Globalazure  Subscription,rg54-prod-tcn,152.470217,167.469937,-14.99972,DOWN
[critical mysql offline]-mysql03-prod-modem-dbrestore04,KioSoft Globalazure  Subscription,rg50-prod-modem,0.086164,0.086164,0,SAME
[critical mysql offline]-mysql10-prod-universal,KioSoft Globalazure  Subscription,cmk,0.061139,0.061139,0,SAME
[critical mysql offline]-mysql11-test-csc,KioSoft Globalazure  Subscription,rg51-test-csc,0.089002,0.089002,0,SAME
[critical mysql offline]-mysql12-prod-cleanstore,KioSoft Globalazure  Subscription,rg47-prod-cleanstore,0.089002,0.089002,0,SAME
[critical mysql offline]-mysql14-prod-market,KioSoft Globalazure  Subscription,retail,0.089002,0.089002,0,SAME
[critical mysql offline]-mysql15-prod-market-replica,KioSoft Globalazure  Subscription,retail,0.089002,0.089002,0,SAME
[critical mysql offline]-mysql19-prod-cleanstore-db02,KioSoft Globalazure  Subscription,rg47-prod-cleanstore,0.088744,0.088744,0,SAME
[critical mysql offline]-mysql22-prod-csc-retail,KioSoft Globalazure  Subscription,rg20003-prod-csc,0.088744,0.088744,0,SAME
[critical mysql offline]-mysql23-prod-csc-universal,KioSoft Globalazure  Subscription,rg20003-prod-csc,0.088744,0.088744,0,SAME
[critical mysql offline]-mysql24-prod-modem,KioSoft Globalazure  Subscription,rg50-prod-modem,0.088744,0.088744,0,SAME
[critical mysql offline]-mysql25-prod-olap,KioSoft Globalazure  Subscription,rg20000-prod-olap,0.088744,0.088744,0,SAME
[critical mysql online]-mysql17-prod-kiocentraluk,KioSoft Globalazure  Subscription,rg60-prod-kiocentraluk,0.089002,0.089002,0,SAME
[high replication lag]-mysql15-prod-market-replica,KioSoft Globalazure  Subscription,retail,0.088228,0.088228,0,SAME
[high replication lag]-mysql19-prod-cleanstore-db02,KioSoft Globalazure  Subscription,rg47-prod-cleanstore,0.088228,0.088228,0,SAME
[high storage io percent]-mysql03-prod-modem-dbrestore04,KioSoft Globalazure  Subscription,rg50-prod-modem,0.079327,0.079327,0,SAME
[high storage io percent]-mysql05-test-retail,KioSoft Globalazure  Subscription,kiosoft-test,0.086164,0.086164,0,SAME
[high storage io percent]-mysql10-prod-universal,KioSoft Globalazure  Subscription,cmk,0.086164,0.086164,0,SAME
[high storage io percent]-mysql11-test-csc,KioSoft Globalazure  Subscription,rg51-test-csc,0.086164,0.086164,0,SAME
[high storage io percent]-mysql12-prod-cleanstore,KioSoft Globalazure  Subscription,rg47-prod-cleanstore,0.086164,0.086164,0,SAME
[high storage io percent]-mysql14-prod-market,KioSoft Globalazure  Subscription,retail,0.086164,0.086164,0,SAME
[high storage io percent]-mysql15-prod-market-replica,KioSoft Globalazure  Subscription,retail,0.086164,0.086164,0,SAME
[high storage io percent]-mysql19-prod-cleanstore-db02,KioSoft Globalazure  Subscription,rg47-prod-cleanstore,0.086164,0.086164,0,SAME
[high storage io percent]-mysql22-prod-csc-retail,KioSoft Globalazure  Subscription,rg20003-prod-csc,0.086164,0.086164,0,SAME
[high storage io percent]-mysql23-prod-csc-universal,KioSoft Globalazure  Subscription,rg20003-prod-csc,0.086164,0.086164,0,SAME
[high storage io percent]-mysql24-prod-modem,KioSoft Globalazure  Subscription,rg50-prod-modem,0.086163,0.086163,0,SAME
[high storage io percent]-mysql25-prod-olap,KioSoft Globalazure  Subscription,rg20000-prod-olap,0.086164,0.086164,0,SAME
02559940-92d3-4914-b3ac-cc3365d2bb2b,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,2.264595,2.264595,0,SAME
49d7f08f-b3f2-4081-b558-5b0cbeeee479,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,0.005116,0.005116,0,SAME
82a6a78971344addad285d2c1833c104,KioSoft Globalazure  Subscription,databricks-rg-kiodatabricks-63wh3jijrnppk,0.087295,0.087295,0,SAME
82a6a78971344addad285d2c1833c104-0-scratchvolume,KioSoft Globalazure  Subscription,databricks-rg-kiodatabricks-63wh3jijrnppk,0.006554,0.006554,0,SAME
82a6a78971344addad285d2c1833c104-containerrootvolume,KioSoft Globalazure  Subscription,databricks-rg-kiodatabricks-63wh3jijrnppk,0.012638,0.012638,0,SAME
8b906ae0-b714-42c6-9763-7e7d876c5224,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,3.720199,3.720199,0,SAME
903b31ab-b4c9-4dfc-8cac-a244f6084880,KioSoft Globalazure  Subscription,mc_commandcenter_cc-test_eastus,3.169365,3.169365,0,SAME
accessauditsystem-ip,KioSoft Globalazure  Subscription,rg20002-prod-om,3.715192,3.715192,0,SAME
acr storage alert,KioSoft Globalazure  Subscription,commandcenter,0.095838,0.095838,0,SAME
activeconnectionalert-kiopos-error,KioSoft Globalazure  Subscription,rg43_prod_alert,0.095838,0.095838,0,SAME
activeconnectionalert-pros-cleanstore,KioSoft Globalazure  Subscription,retail,0.095838,0.095838,0,SAME
adf10000-test-datalake,KioSoft Globalazure  Subscription,rg10003-test-datalake,14.846459,14.846459,0,SAME
adls10000testdatalake,KioSoft Globalazure  Subscription,rg10003-test-datalake,2.10392,2.10392,0,SAME
aks-agentpool-12407023-vmss,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,0.487204,0.487204,0,SAME
aks-agentpool-12407023-vmss / 0,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,9.052266,9.052266,0,SAME
aks-agentpool-12407023-vmss / 1,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,9.052266,9.052266,0,SAME
aks-agentpool-124070aks-agentpool-1240702os__1_e26676ec8d1643a7a79695c0fc57cd42,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,12.401759,12.401759,0,SAME
aks-agentpool-124070aks-agentpool-1240702os__1_fa5179932c094aa09d6a6fecba69ccab,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,12.401759,12.401759,0,SAME
aks-agentpool-88478187-vmss,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,0.000073,0.000073,0,SAME
aks-agentpool-88478187-vmss / 0,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,0.020027,0.020027,0,SAME
aks-agentpool-88478187-vmss / 1,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,0.020027,0.020027,0,SAME
aks-agentpool-884781aks-agentpool-8847818os__1_b1d3796b48a1454392bdb6bd101a60fc,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,0.01453,0.01453,0,SAME
aks-agentpool-884781aks-agentpool-8847818os__1_bde3c98401804ff49f77d39cc468c00a,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,0.01453,0.01453,0,SAME
aks-e2asv4pool-21886233-vmss,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,0.002224,0.002224,0,SAME
