ResourceGroup,ResourceGroupId,SubscriptionName,SubscriptionId,Resource,ResourceId,ResourceType,ResourceLocation,Tags,Cost,CostUSD,Currency
,,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,arm,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/providers/microsoft.security/pricings/arm,microsoft.security/pricings,Unknown,,2.096096608,2.096096608,USD
backup,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/backup,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,rsv01-prod-eastus,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/backup/providers/microsoft.recoveryservices/vaults/rsv01-prod-eastus,Recovery Services vault,US East,[],2047.304148,2047.304148,USD
backup,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/backup,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,rsv05-test-eastus,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/backup/providers/microsoft.recoveryservices/vaults/rsv05-test-eastus,Recovery Services vault,US East,[],740.0345229,740.0345229,USD
backup,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/backup,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,rsv02-prod-eastus2,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/backup/providers/microsoft.recoveryservices/vaults/rsv02-prod-eastus2,Recovery Services vault,US East 2,[],48.62585356,48.62585356,USD
backup,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/backup,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,rsv04-prod-southcentralus,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/backup/providers/microsoft.recoveryservices/vaults/rsv04-prod-southcentralus,Recovery Services vault,US South Central,[],47.3425365,47.3425365,USD
backup,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/backup,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,rsv03-prod-centralus,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/backup/providers/microsoft.recoveryservices/vaults/rsv03-prod-centralus,Recovery Services vault,US Central,[],14.23556181,14.23556181,USD
backup,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/backup,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,rsv06-prod-uksouth,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/backup/providers/microsoft.recoveryservices/vaults/rsv06-prod-uksouth,Recovery Services vault,UK South,[],6.259965455,6.259965455,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,app-gt02-prod-csc-retailweb,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.network/applicationgateways/app-gt02-prod-csc-retailweb,Application gateway,"US East, Intercontinental","[""\""subnetdelegatedtoappgwservice\"":\""false\""""]",1480.779483,1480.779483,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,pip146-app-gt-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.network/publicipaddresses/pip146-app-gt-prod-csc,Public IP address,US East,[],206.5340875,206.5340875,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,pip147-loadbalance07-prod-csc-universalweb,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.network/publicipaddresses/pip147-loadbalance07-prod-csc-universalweb,Public IP address,US East,[],206.5340875,206.5340875,USD
